# date url category title author local_comment modification_comment
# 
# date -> The posting/modification date of the article (YYYY/MM/DD)
# url -> The short name of the html file (i.e. no path information)
# category -> If the list is going to be subdivided into sections then the section 
#             name goes here.  This field can be blank.
# title -> The article title.
# author -> The article author.
# local_comment -> A comment about the article that goes in the toc - can be blank
# modification_comment -> A comment about the article that goes in the what's new - can be blank
#
# BTW the delimiters after the last non-blank field are optional.

# dates prior to 1997 are all fake, and added simply to force the correct sort order

1998/04/12|async_full_duplex.shtml||Asynchronous full-duplex connection class|Paul Barvinko
1998/04/12|get_webpage.shtml||Get web page using WinInet class wrapper|Asif Rasheed
1998/04/12|http_service_monitor.shtml||HTTP Service Monitor|Asif Rasheed
1998/04/12|imapi.shtml||Class for simple MAPI email|Rob Manderson
1998/04/12|local_hostname.shtml||Get hostname and ip address of local computer|Jeff Lundgren
1998/04/12|mailchecker.shtml||Mail Checker|
1998/04/12|pop3_protocol_class_wrapper.shtml||POP3 Protocol wrapper class|
1998/04/12|smtp.shtml||SMTP Protocol wrapper class|
1998/04/12|webbrowser_control.shtml||Using the Web Browser control (IE3)|Daniel Harth
1998/04/12|winsockapi_wrappers.shtml||Winsock API Wrapper Classes|Poul A Costinski
1998/04/12|network_enum.shtml||Network Enumeration|
1998/04/11|InterFunc.shtml||HTTP Service Monitor|Steve Bryndin
1998/04/12|smtp2.shtml||SMTP MFC Classes|Wes Clyburn
1998/04/13|nettools.shtml||Net Tools|Fred Forester
